feature,importance
creatinine_max,0.383738176554674
sofa,0.12646446686683327
rdw_max,0.07067069323857512
aki_stage,0.06188074136115752
po2_min,0.05333481862526647
ph_max,0.03868744027394977
temperature_min,0.03445413814803504
lactate_max,0.03428819281045834
mbp_min,0.03089317820987998
urineoutput,0.025724205385897547
mchc_min,0.0227654402084493
platelets_min,0.01940287924533761
potassium_max,0.0176608583138022
spo2_min,0.017567998666459084
sodium_max,0.017441256851226966
bmi,0.013850560480479822
weight,0.013019187526579204
resp_rate_max,0.009801070273603477
pco2_max,0.008354696959335453
hemoglobin_min,0.0
wbc_max,0.0
mcv_min,0.0
ph_min,0.0
rbc_min,0.0
pao2fio2ratio_min,0.0
baseexcess_min,0.0
height,0.0
heart_rate_max,0.0
gender,0.0
