feature,importance
aki_stage,0.10868654532884447
sofa,0.10736580129691821
creatinine_max,0.09963266504295601
lactate_max,0.047786516911283744
urineoutput,0.04006858239836396
ph_min,0.03806669213797775
baseexcess_min,0.036861644253694585
potassium_max,0.03362700826886489
rdw_max,0.03143658066156849
platelets_min,0.030537225001880754
spo2_min,0.026441667799078437
ph_max,0.025897876827467078
pao2fio2ratio_min,0.02469526933634142
resp_rate_max,0.0242293159307117
sodium_max,0.02402414974206218
bmi,0.023632450606953796
po2_min,0.023536774922716025
rbc_min,0.023407729606195565
weight,0.023125685095999375
wbc_max,0.022363369757649028
mcv_min,0.022180731028047535
mbp_min,0.02194805382808492
heart_rate_max,0.02144629887957734
temperature_min,0.021403530860752314
pco2_max,0.02121844109157828
hemoglobin_min,0.02120533530498476
mchc_min,0.02108564348403737
height,0.02092500518773849
gender,0.013163409407671398
