feature,importance
creatinine_max,0.37982031796340804
aki_stage,0.12896288832028524
urineoutput,0.11888919394659897
sofa,0.0916612606692299
lactate_max,0.03002772044321166
potassium_max,0.026389983241809332
platelets_min,0.021695497109759706
rdw_max,0.02140645178061261
pao2fio2ratio_min,0.016604845154604923
ph_min,0.01366498303773211
rbc_min,0.013219887609492848
resp_rate_max,0.012476106957416435
spo2_min,0.012130071735256931
weight,0.011188039165807661
wbc_max,0.010858644066193145
mbp_min,0.010549414659445672
heart_rate_max,0.010231312296307483
bmi,0.00858981659158274
height,0.008554879997153144
sodium_max,0.008457934842786192
pco2_max,0.008379408194593405
ph_max,0.008349906301447411
baseexcess_min,0.006978751219730329
po2_min,0.0057114341749375215
temperature_min,0.005060428020740392
mchc_min,0.004063368098374359
hemoglobin_min,0.004062840726296929
mcv_min,0.002014613675184844
gender,0.0
