feature,importance
creatinine_max,1.5564775835613731
lactate_max,0.8578844970715527
sofa,0.8008250822934548
aki_stage,0.7872292696230497
rdw_max,0.4138503943940197
spo2_min,0.344763397069623
urineoutput,0.3405792116918881
mbp_min,0.332654209951505
mchc_min,0.3297225145535693
potassium_max,0.3129628970465571
bmi,0.2968067488349077
weight,0.2595710842785141
platelets_min,0.24876542577487862
gender,0.24524541358991686
height,0.21348962064197136
po2_min,0.14920465265129795
hemoglobin_min,0.14893631030040666
ph_min,0.14283805129428329
baseexcess_min,0.12986847899206017
heart_rate_max,0.08847985867600189
mcv_min,0.07505741383321517
sodium_max,0.06315008291988375
resp_rate_max,0.05735421967721029
temperature_min,0.05508414066394278
ph_max,0.04937383004929511
wbc_max,0.046365907928889845
rbc_min,0.04520622923673695
pco2_max,0.0027794822358889492
pao2fio2ratio_min,0.002334146488934376
