feature,importance
creatinine_max,0.12702140995924469
urineoutput,0.09743232508991638
sofa,0.0766802339625418
aki_stage,0.07060882227799113
lactate_max,0.04134994544444683
platelets_min,0.041052789503871
baseexcess_min,0.036576073393444854
ph_min,0.03646620059971395
potassium_max,0.03165355840363
rdw_max,0.031611455911297374
ph_max,0.027333520623685492
weight,0.027078163794324275
pao2fio2ratio_min,0.026538860023822112
po2_min,0.025707854428983216
wbc_max,0.025640315169497437
rbc_min,0.024245905737787045
bmi,0.02415341605538088
sodium_max,0.02251847963433834
hemoglobin_min,0.021841541807976244
resp_rate_max,0.02156269192669483
temperature_min,0.021492816713951892
heart_rate_max,0.020853035898682717
pco2_max,0.02065889646566647
spo2_min,0.0202509918025962
mbp_min,0.020215868993176508
mchc_min,0.019171240523090154
height,0.019066029162080035
mcv_min,0.018570498674144738
gender,0.0026470580180233522
